candidate | reach | d_min | z | P2 | P3 | G/quantum | notes
sc       | 2.06 | 1.935 |  6.00 |  0.00 |   4.00 |  43.89 | 
sc       | 2.14 | 1.935 |  6.00 |  0.00 |   4.00 |  43.89 | 
sc       | 2.22 | 1.935 |  6.00 |  0.00 |   4.00 |  43.89 | 
bcc      | 2.06 | 2.111 |  0.00 |  0.00 |   0.00 |   0.00 | no-bonds
bcc      | 2.14 | 2.111 |  8.00 |  0.00 |  12.00 |  60.64 | 
bcc      | 2.22 | 2.111 |  8.00 |  0.00 |  12.00 |  60.64 | 
fcc      | 2.06 | 2.172 |  0.00 |  0.00 |   0.00 |   0.00 | no-bonds
fcc      | 2.14 | 2.172 |  0.00 |  0.00 |   0.00 |   0.00 | no-bonds
fcc      | 2.22 | 2.172 | 12.00 |  4.00 |  22.00 |  98.33 | 
diamond  | 2.06 | 1.676 |  4.00 |  0.00 |   0.00 |   0.00 | CORE-VIOLATION
diamond  | 2.14 | 1.676 |  4.00 |  0.00 |   0.00 |   0.00 | CORE-VIOLATION
diamond  | 2.22 | 1.676 |  4.00 |  0.00 |   0.00 |   0.00 | CORE-VIOLATION
A15      | 2.06 | 1.935 |  1.50 |  0.00 |   0.00 |  11.14 | 
A15      | 2.14 | 1.935 |  1.50 |  0.00 |   0.00 |  11.14 | 
A15      | 2.22 | 1.935 |  7.50 |  1.19 |   4.07 |  45.07 | 
hcp      | 2.06 | 2.172 |  0.00 |  0.00 |   0.00 |   0.00 | no-bonds
hcp      | 2.14 | 2.172 |  0.00 |  0.00 |   0.00 |   0.00 | no-bonds
hcp      | 2.22 | 2.172 | 12.00 |  4.00 |  21.94 |  98.19 | 
tetrahx  | 2.14 | 1.754 |  6.00 |  3.00 |   9.24 |  66.02 | local ref (not at rho0)
icos13   | 2.14 | 1.754 |  6.46 |  3.57 |  14.29 |  79.78 | local ref (not at rho0)

Books target C = 35.85, window [32, 40]
